VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
1N4BZ0CP9G,Snohomish,Arlington,WA,98223,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,39,238236288,,PUGET SOUND ENERGY INC,53061052701
1N4AZ0CP5G,King,Seattle,WA,98118,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,37,182735367,,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033011102
1N4BZ1CP7K,Thurston,Olympia,WA,98502,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,22,142814556,POINT (-102.71236 22.94812),,53067012002
5YJ3E1EBXK,Frederick,Frederick,MD,21704,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,,114252337,POINT (-77.368491 39.354463),,24021752205
5YJ3E1EAXL,King,Bellevue,WA,98008,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,48,2075510,,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023100
5YJ3E1EA5J,King,Seattle,WA,98118,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,37,192386232,,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010301
5YJSA1H28F,King,Bellevue,WA,98008,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,48,213056665,,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023300
KNDCC3LG0K,King,Seattle,WA,98118,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,37,3486731,,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010102
5YJSA1E29K,King,Seattle,WA,98118,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270,0,37,326794177,,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010102
5YJ3E1EB2J,King,Bellevue,WA,98008,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,48,474679803,,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023000
3FA6P0SUXG,Orange,Buena Park,CA,90620,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,,111821167,,,6059086801
5YJ3E1EB5J,Skagit,Anacortes,WA,98221,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,40,333075459,POINT (-122.628418 48.487079),,53057950100
3FMTK3RM7M,Sumter,Sumter,SC,29154,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,,212029016,,,45085000300
1N4AZ1CP1J,King,Bellevue,WA,98008,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,48,474800567,,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022901
KL8CK6S08F,Spokane,Spokane,WA,99207,2015,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,82,0,3,102617623,,MODERN ELECTRIC WATER COMPANY,53063001500
WBY8P2C52K,King,Seattle,WA,98118,2019,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,153,0,37,172141770,,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010102
1N4BZ0CP4G,King,Seattle,WA,98118,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,37,205923532,,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033011102
1G1FX6S08H,Snohomish,Arlington,WA,98223,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,39,138486715,,PUGET SOUND ENERGY INC,53061053507
JN1AZ0CP8C,King,Bellevue,WA,98008,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,48,123166998,,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022901
5YJ3E1EB9J,King,Bellevue,WA,98008,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,48,475500630,,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023202
5YJ3E1EA5J,King,Bellevue,WA,98008,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,48,349800076,,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023100
1N4BZ0CP6H,King,Seattle,WA,98118,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,37,193062789,,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010102
KNDJX3AE1G,King,Seattle,WA,98118,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,37,251619196,,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011001
JN1AZ0CP4B,King,Bellevue,WA,98008,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,48,117473275,,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023000
1N4BZ0CP0H,King,Seattle,WA,98118,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,37,102007706,,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011101
3FA6P0SU5E,Montgomery,Gaithersburg,MD,20882,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,,148736234,POINT (-77.159627 39.227609),,24031700103
WMEFJ9BA6H,Snohomish,Arlington,WA,98223,2017,SMART,FORTWO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58,0,38,153988418,,PUGET SOUND ENERGY INC,53061053102
5YJ3E1EB4J,Snohomish,Arlington,WA,98223,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,39,195019954,,PUGET SOUND ENERGY INC,53061053505
5YJSA1E23G,Snohomish,Arlington,WA,98223,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,39,209072139,,PUGET SOUND ENERGY INC,53061052701
3C3CFFGE9G,King,Seattle,WA,98118,2016,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,37,242678908,,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010200
5YJSA1E49L,King,Bellevue,WA,98008,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,337,0,48,2222755,,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023000
1G1RD6E45D,Clark,Laughlin,NV,89029,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,,5204412,POINT (-114.57245 35.16815),,32003005702
JN1AZ0CPXB,Snohomish,Arlington,WA,98223,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,39,143527765,,PUGET SOUND ENERGY INC,53061052803
JTMEB3FV3N,Hillsborough,Lithia,FL,33547,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,,195795477,,,12057013923
KNDC3DLC2N,Walla Walla,Walla Walla,WA,99362,2022,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,16,212216448,POINT (-118.342366 46.081666),PACIFICORP,53071920500
3FA6P0SU2L,Thurston,Olympia,WA,98502,2020,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,22,107083574,POINT (-102.71236 22.94812),PUGET SOUND ENERGY INC,53067010510
1N4BZ0CP4G,Kitsap,Olalla,WA,98359,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,26,203953235,POINT (-122.54729 47.42602),PUGET SOUND ENERGY INC,53035092803
5YJSA1E21H,Thurston,Olympia,WA,98513,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,2,163298908,POINT (-122.751179 47.002092),PUGET SOUND ENERGY INC,53067012420
1FMCU0EZ2N,Douglas,East Wenatchee,WA,98802,2022,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,12,199433727,POINT (-120.241485 47.454995),PUD NO 1 OF DOUGLAS COUNTY,53017950300
KNDCC3LD2K,King,Seattle,WA,98118,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,37,476075974,,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033010200
3C3CFFGE5H,King,Seattle,WA,98118,2017,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,37,8781328,,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033010200
YV4BR0CL9L,Thurston,Olympia,WA,98506,2020,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,22,101666596,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012211
WBY1Z4C57G,King,Seattle,WA,98118,2016,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,37,260179377,,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011802
WBY1Z4C52F,King,Seattle,WA,98118,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,37,248374381,,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033011102
JHMZC5F32J,Allegheny,Pittsburgh,PA,15208,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,0,,128741777,,,42003141200
5YJ3E1EB3J,Santa Cruz,Santa Cruz,CA,95062,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,,341504929,POINT (-121.990303 36.97315),,6087100900
1G1FW6S05H,Columbia,Dayton,WA,99328,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,16,242632071,POINT (-117.907086 46.305025),PACIFICORP,53013960200
1N4AZ0CP6D,Grays Harbor,Ocean Shores,WA,98569,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,24,139751776,POINT (-124.16408 47.01156),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF GRAYS HARBOR COUNTY,53027000201
WA1E2AFYXL,King,Seattle,WA,98122,2020,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,0,37,192610379,POINT (-122.303413 47.61065),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007800
JTMAB3FV9M,Thurston,Olympia,WA,98506,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,22,185605556,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012100
1G1FX6S05H,Whatcom,Bellingham,WA,98229,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,40,272454143,POINT (-122.414936 48.709388),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000808
3FA6P0SU8L,Yakima,Yakima,WA,98901,2020,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,15,205706882,POINT (-120.441155 46.626077),PACIFICORP,53077001702
5YJYGDEE8M,King,Seattle,WA,98117,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,36,148983761,POINT (-122.379354 47.687571),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003202
5YJYGAEE3M,King,Federal Way,WA,98023,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,30,182441689,POINT (-122.362029 47.308531),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030308
7SAYGDEF4N,King,Issaquah,WA,98029,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,5,210102182,POINT (-122.014191 47.559121),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032221
5YJYGDEE0M,King,Seattle,WA,98102,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,43,171548009,POINT (-122.321673 47.634289),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006500
1G1FY6S04N,King,Shoreline,WA,98177,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,32,212346760,POINT (-122.370159 47.743354),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020800
YV4ED3UR7N,Kitsap,Bremerton,WA,98312,2022,VOLVO,XC40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35,194136645,POINT (-122.724682 47.57271),PUGET SOUND ENERGY INC,53035080700
5YJ3E1EA1M,Pierce,Puyallup,WA,98373,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,25,175654629,POINT (-122.324308 47.149041),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053071310
7SAYGDEF9N,King,Kirkland,WA,98033,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,48,207613465,POINT (-122.188994 47.678406),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022502
5YJ3E1EA6L,Snohomish,Mukilteo,WA,98275,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,21,2216763,POINT (-122.302507 47.911921),PUGET SOUND ENERGY INC,53061042006
LPSED3KA9M,King,Seattle,WA,98107,2021,POLESTAR,PS2,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,233,0,36,179204203,POINT (-122.375438 47.667804),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003301
5YJSA1E21G,King,Seattle,WA,98116,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,34,227333368,POINT (-122.394511 47.574001),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009600
5YJ3E1EB2K,Pierce,South Hill,WA,98375,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,2,187365230,POINT (-122.321062 47.103797),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY,53053073127
5YJ3E1EC7N,King,Issaquah,WA,98027,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41,205565643,POINT (-122.010741 47.506838),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025006
5YJYGDEE3M,King,Bellevue,WA,98008,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,48,136879025,,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022901
WVGTMPE29M,King,Bellevue,WA,98006,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41,202187569,POINT (-122.151342 47.560192),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024902
5YJ3E1EA7J,King,Seattle,WA,98112,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,43,274356330,POINT (-122.296466 47.631708),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006300
JN1AZ0CP6C,King,Federal Way,WA,98003,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,30,153454178,POINT (-122.313367 47.310006),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030005
WBY1Z4C5XG,King,Bellevue,WA,98008,2016,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,48,193482614,,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023000
1G1FY6S01L,King,Seattle,WA,98115,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,46,144958775,POINT (-122.297534 47.685291),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001900
KNDCC3LC7H,Island,Oak Harbor,WA,98277,2017,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,10,349100636,POINT (-122.63841 48.310313),PUGET SOUND ENERGY INC,53029970500
3FMTK2SU3N,Thurston,Olympia,WA,98501,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,212098610,POINT (-122.874042 46.998873),PUGET SOUND ENERGY INC,53067011200
